study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
VanBe_Jng_KenB,0.048245077,0.254688399,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,0.46687846,0.245304617,3,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,-0.00235917,0.255237762,3,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,0.485065042,0.247297818,3,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,0.015827413,0.257153983,3,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
Wagner,0.416149057,0.324025595,3,2,2,1,0,1,2,0,1,0,2,0,99,2,1,1
Wang,0.678153062,0.2851414,3,2,1,88,0,2,99,0,99,0,2,2,99,2,1,1
Wang,0.538078447,0.276762615,3,2,0,88,0,2,99,0,99,0,2,2,99,2,1,1
Yu_Cheng,0.600488673,0.270073101,1,2,8,88,1,2,1,0,99,2,1,0,1,2,1,1
Yu_Cheng,0.386961085,0.267175812,2,2,8,88,1,2,1,0,99,2,1,0,1,2,1,1
Zhang,-0.820966383,0.31988083,2,2,0,88,0,2,1,0,99,0,2,2,1,2,2,1
